id,tag,count,article,group,year
1,kimv79,90,,>50,2007
2,listec76,50,,41-50,2007
3,parkj56,44,,41-50,2007
4,suchij56,44,,41-50,2007
5,chapmm93,43,,41-50,2007
6,chanc17,37,,31-40,2007
7,choic55,37,,31-40,2007
8,steln007,36,,31-40,2007
9,leej25,35,,31-40,2007
10,lina12,32,,31-40,2007
11,benams21,32,,31-40,2007
12,bischj41,32,,31-40,2007
13,choua58,30,,21-30,2007
14,Beiged29,27,,21-30,2007
15,vellel50,27,,21-30,2007
16,dintac86,27,,21-30,2007
17,valenj29,25,,21-30,2007
18,pantoj53,24,,21-30,2007
19,jayapa57,24,,21-30,2007
20,bailj47,23,,21-30,2007
21,lianga90,23,,21-30,2007
22,parky55,22,,21-30,2007
23,AJoyce83,22,,21-30,2007
24,cuetoa70,21,,21-30,2007
25,bronj219,20,,11-20,2007
26,allenj67,20,,11-20,2007
27,kimm70,20,,11-20,2007
28,bozzag76,20,,11-20,2007
29,greena85,20,,11-20,2007
30,brane809,18,,11-20,2007
31,kimb822,18,,11-20,2007
32,hessed88,18,,11-20,2007
33,brilk57,16,,11-20,2007
34,degene80,16,,11-20,2007
35,Bhagcs87,15,,11-20,2007
36,farrij12,14,,11-20,2007
37,suhj50,13,,11-20,2007
38,rowlej62,13,,11-20,2007
39,Brign051,12,,11-20,2007
40,hazank35,11,,11-20,2007
41,remem801,9,,1-10,2007
42,Campa05,8,,1-10,2007
43,bachj366,7,,1-10,2007
44,leee36,6,,1-10,2007
45,riggk982,34,,31-40,2008
46,Mikae822,29,,21-30,2008
47,patep385,24,,21-30,2008
48,igaa115,21,,21-30,2008
49,klein741,21,,21-30,2008
50,chokm788,18,,11-20,2008
51,yooj098,15,,11-20,2008
52,forsa665,15,,11-20,2008
53,Yoonl463,14,,11-20,2008
54,lama947,14,,11-20,2008
55,parrm849,13,,11-20,2008
56,kiska286,11,,11-20,2008
57,Junge206,10,,1-10,2008
58,chois217,9,,1-10,2008
59,leew258,9,,1-10,2008
60,murpl478,8,,1-10,2008
61,Balbj866,8,,1-10,2008
62,kimr323,7,,1-10,2008
63,viger488,5,,1-10,2008
64,N00556956,5,,1-10,2008
65,jangm599,5,,1-10,2010
66,choe384,4,,1-10,2010
67,gonza067,4,,1-10,2010
68,vocks141,4,,1-10,2010
69,eddye157,4,,1-10,2010
70,mullk879,4,,1-10,2010
71,lala869,3,,1-10,2010
72,soeta563,3,,1-10,2010
73,N00149217,2,,1-10,2010
74,garap543,2,,1-10,2010
75,averc093,2,,1-10,2010
76,katlz457,2,,1-10,2010
77,N00157457,2,,1-10,2010
78,bearc793,133,,>50,2011
79,chokm788,54,,>50,2011
80,Rydem270,30,,21-30,2011
81,sengy979,29,,21-30,2011
82,latha455,27,,21-30,2011
83,hanm259,27,,21-30,2011
84,frazh250,26,,21-30,2011
85,ellie341,23,,21-30,2011
86,mcbrk171,23,,21-30,2011
87,wageh861,22,,21-30,2011
88,edwaj750,22,,21-30,2011
89,mehtp610,22,,21-30,2011
90,anb582,22,,21-30,2011
91,lamm415,21,,21-30,2011
92,wuz956,21,,21-30,2011
93,barrm886,21,,21-30,2011
94,chanm560,20,,11-20,2011
95,choij301,20,,11-20,2011
96,ogirg663,20,,11-20,2011
97,velad349,20,,11-20,2011
98,muira595,20,,11-20,2011
99,manas442,20,,11-20,2011
100,chavc373,20,,11-20,2011
101,Varam600,20,,11-20,2011
102,munav802,20,,11-20,2011
103,lipfd131,20,,11-20,2011
104,olaua111,20,,11-20,2011
105,suara836,20,,11-20,2011
106,parki673,20,,11-20,2011
107,birka607,20,,11-20,2011
108,jint316,20,,11-20,2011
109,baeks092,20,,11-20,2011
110,ozkea659,19,,11-20,2011
111,deshm279,19,,11-20,2011
112,walse827,19,,11-20,2011
113,wayna108,19,,11-20,2011
114,shahs913,19,,11-20,2011
115,bunnm156,19,,11-20,2011
116,chanp879,19,,11-20,2011
117,lail948,19,,11-20,2011
118,thomh565,19,,11-20,2011
119,fakim715,19,,11-20,2011
120,mcdoc872,19,,11-20,2011
121,shapm890,19,,11-20,2011
122,silvp853,19,,11-20,2011
123,blath687,18,,11-20,2011
124,maget756,18,,11-20,2011
125,petes486,18,,11-20,2011
126,koslc717,18,,11-20,2011
127,suttc466,18,,11-20,2011
128,harbm342,18,,11-20,2011
129,sunx206,18,,11-20,2011
130,tabas942,18,,11-20,2011
131,liuq783,18,,11-20,2011
132,aokik235,18,,11-20,2011
133,andeb206,18,,11-20,2011
134,atchj835,18,,11-20,2011
135,leey203,17,,11-20,2011
136,stons428,17,,11-20,2011
137,smitd401,17,,11-20,2011
138,khand117,17,,11-20,2011
139,parkc613,17,,11-20,2011
140,bajea247,17,,11-20,2011
141,chans245,17,,11-20,2011
142,priei013,17,,11-20,2011
143,afang332,17,,11-20,2011
144,hadad805,17,,11-20,2011
145,reyed213,17,,11-20,2011
146,carik251,17,,11-20,2011
147,loe272,17,,11-20,2011
148,decs863,17,,11-20,2011
149,leej731,17,,11-20,2011
150,coopj740,17,,11-20,2011
151,steva965,17,,11-20,2011
152,bernc090,17,,11-20,2011
153,friej909,16,,11-20,2011
154,mcnuv609,16,,11-20,2011
155,eisej801,16,,11-20,2011
156,duraj512,16,,11-20,2011
157,vanna699,16,,11-20,2011
158,mccoj468,16,,11-20,2011
159,adamp280,16,,11-20,2011
160,choie546,16,,11-20,2011
161,dasws099,16,,11-20,2011
162,lardn669,16,,11-20,2011
163,kokom137,16,,11-20,2011
164,hultl467,16,,11-20,2011
165,zhanc504,16,,11-20,2011
166,judga956,16,,11-20,2011
167,paulh144,16,,11-20,2011
168,lalls809,15,,11-20,2011
169,hoges930,15,,11-20,2011
170,kimb793,15,,11-20,2011
171,coppj799,15,,11-20,2011
172,yuh481,15,,11-20,2011
173,nguyl650,15,,11-20,2011
174,soldg349,15,,11-20,2011
175,steri838,15,,11-20,2011
176,Rodrl555,15,,11-20,2011
177,chirs461,15,,11-20,2011
178,hollo274,14,,11-20,2011
179,leej651,14,,11-20,2011
180,dasaa737,14,,11-20,2011
181,koj669,14,,11-20,2011
182,kangi359,14,,11-20,2011
183,shene282,14,,11-20,2011
184,malag336,14,,11-20,2011
185,siree843,14,,11-20,2011
186,kangs200,14,,11-20,2011
187,soroa723,14,,11-20,2011
188,schop333,14,,11-20,2011
189,saezc279,14,,11-20,2011
190,audiy443,14,,11-20,2011
191,breas720,14,,11-20,2011
192,parns688,13,,11-20,2011
193,gupta454,13,,11-20,2011
194,wangk229,13,,11-20,2011
195,bakea104,13,,11-20,2011
196,vincc264,13,,11-20,2011
197,siguj102,13,,11-20,2011
198,touro890,13,,11-20,2011
199,ZimmK625,13,,11-20,2011
200,cinar696,12,,11-20,2011
201,lees292,12,,11-20,2011
202,Lutsp503,12,,11-20,2011
203,fishl152,12,,11-20,2011
204,kwonj582,12,,11-20,2011
205,chokm778,12,,11-20,2011
206,lerno479,12,,11-20,2011
207,urqup502,11,,11-20,2011
208,katzr407,11,,11-20,2011
